4996,5051,1,11.7377,"Joshua","Burgess","MarianneGlover","mark@richmond.mr",true
4997,5052,13,13.9127,"Regina","Mullen","BillHarrell","robin@pritchard.bj",true
4998,5053,41,18.6523,"Frances","Henderson","LeoSchultz","brent@hardy.gu",false
4999,5054,27,16.7788,"Paula","Harrell","HenrySingleton","jimmy@reid.fj",false
5000,5055,36,18.7091,"Calvin","Klein","EdgarMcKinney","virginia@hunt.be",true
5001,5056,16,18.7445,"Hilda","Grossman","ShelleySteele","harry@schwartz.bn",false
5002,5057,23,11.65,"Paul","Hendrix","DonnaRao","constance@bray.is",true
5003,5058,7,11.9652,"Ethel","Sutherland","ReginaMorse","allen@christian.ir",false
5004,5059,32,14.2062,"Luis","Henson","MarshaClarke","eddie@case.pe",true
5005,5060,48,19.6432,"Gloria","Blanchard","LorraineCash","jack@stevens.gt",true
5006,5061,11,16.2774,"Ralph","Jiang","AlanCobb","tonya@wolf.ec",false
5007,5062,0,12.5174,"Sidney","Pitts","DianneCase","martha@love.ph",true
5008,5063,32,14.32,"Beth","Li","BarbaraWang","ashley@mcintosh.mu",true
5009,5064,25,17.2195,"Lynn","Sellers","DanBaker","bruce@conrad.kp",false
5010,5065,33,18.9882,"Bonnie","Berger","ElsieHarvey","hannah@dyer.zw",true
5011,5066,4,15.2704,"Marcus","Perkins","SharonLevine","willie@wagner.tz",false
5012,5067,38,10.5048,"Lester","Hardin","CarrieDunlap","gwendolyn@abbott.sa",false
5013,5068,3,11.5499,"Bonnie","Lowe","GeneWilkerson","neal@lawrence.sv",true
5014,5069,41,13.1071,"Warren","Haynes","SueSilverman","chris@boswell.hu",true
5015,5070,41,13.0813,"Shawn","Crane","AndrewWang","kyle@garcia.ec",true
5016,5071,19,14.878,"Gordon","Holloway","TraceyFreeman","anne@forrest.ax",false
5017,5072,46,10.9175,"Marcia","Moore","EdnaRobinson","courtney@davenport.dm",true
5018,5073,11,13.2874,"Keith","Hardy","RussellCarver","jack@roy.gw",false
5019,5074,34,15.713,"Clyde","Hayes","ToddMcAllister","tracy@ayers.ki",true
5020,5075,9,16.1716,"Malcolm","McCarthy","NatalieHarper","arlene@brady.vn",true
5021,5076,27,15.2103,"Theodore","Bolton","RhondaZhang","amanda@gallagher.by",false
5022,5077,3,18.7657,"Gladys","Chappell","KyleWeinstein","calvin@chen.ht",true
5023,5078,46,14.2447,"Maureen","Shapiro","ChrisChoi","jon@hawkins.cf",false
5024,5079,49,13.735,"Calvin","McCall","NinaBrady","marion@o.na",true
5025,5080,3,13.4684,"Matthew","Hester","VanessaChu","michele@waters.ml",true
5026,5081,25,10.026,"Allen","Scott","JoanWoods","tamara@hu.tf",true
5027,5082,9,17.5066,"Sheryl","Parks","JackYang","sandra@heath.hr",true
5028,5083,39,19.7223,"Joann","Solomon","SherrySumner","lois@scott.lb",true
5029,5084,5,11.4112,"Lucy","Levin","LewisFrench","barry@brown.ke",true
5030,5085,9,10.7905,"Kay","Neal","SidneyStone","crystal@frederick.lv",true
5031,5086,0,13.3205,"George","Olson","ChristinaAlexander","calvin@berger.uz",true
5032,5087,29,14.8551,"Dana","Griffin","GinaScott","donald@francis.ir",true
5033,5088,36,19.6964,"Kara","Mitchell","CathyHarvey","don@daniel.pn",true
5034,5089,5,18.0276,"Vickie","Anthony","KimberlyAbbott","stephanie@padgett.ve",true
5035,5090,5,17.4812,"Regina","Rollins","ClaireFitzpatrick","max@hobbs.yt",false
5036,5091,36,15.4123,"Marianne","Bowers","JenniferAyers","nicholas@woodward.hr",false
5037,5092,32,16.2494,"Brenda","Sinclair","TracySchroeder","jennifer@lehman.rw",true
5038,5093,44,15.4079,"Hazel","McNeill","KristinHess","shirley@britt.mo",true
5039,5094,45,16.4032,"Karl","Matthews","BethHamilton","marc@walters.at",true
5040,5095,49,11.9161,"Bob","Sinclair","GlendaWall","amy@abbott.wf",false
5041,5096,16,12.4592,"Annie","Hawkins","SaraSchwartz","walter@heller.ne",false
5042,5097,24,18.1451,"Tom","Kay","HaroldBarrett","thelma@hirsch.cv",false
5043,5098,34,18.9241,"Natalie","Scarborough","NicoleYates","sue@simmons.ag",true
5044,5099,19,11.7218,"Charlene","Sharma","AllanRobinson","jessica@fitzpatrick.ne",false
5045,5100,48,11.4969,"Eileen","Rich","ErinRitchie","glen@jenkins.tj",false
5046,5101,4,17.6267,"Audrey","Snow","StephanieForrest","scott@callahan.ms",true
5047,5102,28,11.5462,"Samuel","Hendrix","SarahHendrix","eileen@garcia.sz",true
5048,5103,16,12.6451,"Phyllis","Honeycutt","CynthiaWall","charlene@stuart.hm",true
5049,5104,29,16.2863,"Brenda","Sullivan","HaroldSteele","frederick@goldman.sd",true
5050,5105,29,14.5714,"Leroy","Guthrie","FrancesJennings","jackie@huff.cu",true
5051,5106,18,10.7477,"Jennifer","Pierce","GayleSellers","zachary@snow.pg",false
5052,5107,46,18.523,"Zachary","Norton","TimBradshaw","anne@chan.id",false
5053,5108,7,14.3211,"Marc","Hernandez","JanetWalters","stacey@cook.vu",true
5054,5109,35,18.9036,"Calvin","McMahon","GlendaScarborough","michelle@lutz.sa",true
5055,5110,41,18.9277,"Jeff","Berg","EvelynFloyd","willie@watkins.cy",false
5056,5111,17,18.1643,"Judy","Parsons","WendyBolton","franklin@chandler.sn",false
5057,5112,0,17.8193,"Tracey","Blalock","CalvinLyons","katherine@pate.ph",false
5058,5113,44,19.6033,"Joan","Moss","KathyDickerson","marion@donovan.bz",false
5059,5114,41,16.2411,"Annette","Finch","MargueriteBeach","frances@may.dj",false
5060,5115,37,18.6027,"Lauren","Garrett","AllisonPreston","harvey@hines.az",false
5061,5116,10,16.5009,"Matthew","Kaplan","BillRiley","joanne@hamilton.bm",false
5062,5117,16,12.2917,"Priscilla","Pollard","ValerieHarris","bobby@glover.il",true
5063,5118,47,11.0707,"Vicki","Eason","AllenHamrick","patricia@park.gm",true
5064,5119,13,18.1166,"Calvin","Jones","CarolynChang","wesley@baxter.ai",true
5065,5120,36,15.2452,"Jessica","Bowden","AlanStone","peter@fisher.sh",false
5066,5121,43,11.7581,"Vivian","Gould","ReneeChandler","russell@lindsay.np",false
5067,5122,47,15.2044,"Geraldine","Sherrill","ReneeDavies","janice@branch.md",false
5068,5123,19,16.3683,"Sherri","Sherrill","KatherineBurnett","kelly@blackburn.ax",false
5069,5124,31,18.9888,"Oscar","Schultz","DanPollard","kim@heath.ng",false
5070,5125,19,12.1917,"Harvey","Jennings","ScottWalton","heather@bowden.bz",true
5071,5126,34,10.3073,"Vincent","McKay","NealGibbons","jackie@li.za",false
5072,5127,5,11.611,"Steve","Whitehead","ShirleyGould","neal@underwood.re",true
5073,5128,7,11.0574,"Beth","Byers","AllisonGross","jimmy@love.br",true
5074,5129,33,11.0249,"Franklin","Abbott","DannyBarber","douglas@adkins.bl",false
